Authority,Code,Keyword,Value,Keyword,Value,Keyword,Value,Keyword,Value,Keyword,Value,Keyword,Value
EPSG,3395,Datum,WGE,Coord_Sys,Mercator (Standard Parallel),Central Meridian,0,Standard Parallel,0,False Easting (m),0,False Northing (m),0
EPSG,3857,Datum,WGE,Coord_Sys,Web Mercator (S),,,,,,,,
EPSG,4326,Datum,WGE,Coord_Sys,Geodetic,Height Type,No Height,,,,,,
EPSG,4979,Datum,WGE,Coord_Sys,Geodetic,Height Type,Ellipsoid Height,,,,,,
EPSG,4978,Datum,WGE,Coord_Sys,Geocentric,,,,,,,,
EPSG,32601,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),1,Hemisphere,N,Override,Off,,
EPSG,32602,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),2,Hemisphere,N,Override,Off,,
EPSG,32603,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),3,Hemisphere,N,Override,Off,,
EPSG,32604,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),4,Hemisphere,N,Override,Off,,
EPSG,32605,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),5,Hemisphere,N,Override,Off,,
EPSG,32606,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),6,Hemisphere,N,Override,Off,,
EPSG,32607,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),7,Hemisphere,N,Override,Off,,
EPSG,32608,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),8,Hemisphere,N,Override,Off,,
EPSG,32609,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),9,Hemisphere,N,Override,Off,,
EPSG,32610,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),10,Hemisphere,N,Override,Off,,
EPSG,32611,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),11,Hemisphere,N,Override,Off,,
EPSG,32612,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),12,Hemisphere,N,Override,Off,,
EPSG,32613,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),13,Hemisphere,N,Override,Off,,
EPSG,32614,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),14,Hemisphere,N,Override,Off,,
EPSG,32615,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),15,Hemisphere,N,Override,Off,,
EPSG,32616,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),16,Hemisphere,N,Override,Off,,
EPSG,32617,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),17,Hemisphere,N,Override,Off,,
EPSG,32618,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),18,Hemisphere,N,Override,Off,,
EPSG,32619,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),19,Hemisphere,N,Override,Off,,
EPSG,32620,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),20,Hemisphere,N,Override,Off,,
EPSG,32621,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),21,Hemisphere,N,Override,Off,,
EPSG,32622,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),22,Hemisphere,N,Override,Off,,
EPSG,32623,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),23,Hemisphere,N,Override,Off,,
EPSG,32624,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),24,Hemisphere,N,Override,Off,,
EPSG,32625,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),25,Hemisphere,N,Override,Off,,
EPSG,32626,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),26,Hemisphere,N,Override,Off,,
EPSG,32627,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),27,Hemisphere,N,Override,Off,,
EPSG,32628,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),28,Hemisphere,N,Override,Off,,
EPSG,32629,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),29,Hemisphere,N,Override,Off,,
EPSG,32630,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),30,Hemisphere,N,Override,Off,,
EPSG,32631,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),31,Hemisphere,N,Override,Off,,
EPSG,32632,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),32,Hemisphere,N,Override,Off,,
EPSG,32633,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),33,Hemisphere,N,Override,Off,,
EPSG,32634,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),34,Hemisphere,N,Override,Off,,
EPSG,32635,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),35,Hemisphere,N,Override,Off,,
EPSG,32636,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),36,Hemisphere,N,Override,Off,,
EPSG,32637,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),37,Hemisphere,N,Override,Off,,
EPSG,32638,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),38,Hemisphere,N,Override,Off,,
EPSG,32639,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),39,Hemisphere,N,Override,Off,,
EPSG,32640,Datum,WGE,Coord_Sys,Universal Transverse Mercator (UTM),Zone (1-60),40,Hemisphere,N,Override,Off,,
